start,end,start [s],end [s],dur [s],speaker
135,87877,0.008,5.492,5.484,SPEAKER_00
101731,167198,6.358,10.45,4.092,SPEAKER_00
171001,171544,10.688,10.722,0.034,SPEAKER_00
172359,172903,10.772,10.806,0.034,SPEAKER_00
173718,196264,10.857,12.267,1.409,SPEAKER_00
203056,270696,12.691,16.919,4.228,SPEAKER_00
277215,295959,17.326,18.497,1.171,SPEAKER_00
301935,534736,18.871,33.421,14.55,SPEAKER_00
540169,591239,33.761,36.952,3.192,SPEAKER_00
598573,708319,37.411,44.27,6.859,SPEAKER_00
720271,872393,45.017,54.525,9.508,SPEAKER_00
883803,902546,55.238,56.409,1.171,SPEAKER_00
919117,935959,57.445,58.497,1.053,SPEAKER_00
