start,end,start [s],end [s],dur [s],speaker
2580,63429,0.161,3.964,3.803,SPEAKER_00
73752,148726,4.61,9.295,4.686,SPEAKER_00
154974,206587,9.686,12.912,3.226,SPEAKER_00
210662,226960,13.166,14.185,1.019,SPEAKER_00
239185,279660,14.949,17.479,2.53,SPEAKER_00
296774,312258,18.548,19.516,0.968,SPEAKER_00
362784,377996,22.674,23.625,0.951,SPEAKER_00
399728,414940,24.983,25.934,0.951,SPEAKER_00
427707,441290,26.732,27.581,0.849,SPEAKER_00
457317,480407,28.582,30.025,1.443,SPEAKER_00
491273,554567,30.705,34.66,3.956,SPEAKER_00
587164,602376,36.698,37.649,0.951,SPEAKER_00
623837,636061,38.99,39.754,0.764,SPEAKER_00
661324,675449,41.333,42.216,0.883,SPEAKER_00
687402,703429,42.963,43.964,1.002,SPEAKER_00
737657,756943,46.104,47.309,1.205,SPEAKER_00
768081,784380,48.005,49.024,1.019,SPEAKER_00
824040,852563,51.503,53.285,1.783,SPEAKER_01
833005,854736,52.063,53.421,1.358,SPEAKER_00
861528,866417,53.846,54.151,0.306,SPEAKER_01
874023,885161,54.626,55.323,0.696,SPEAKER_00
903633,915042,56.477,57.19,0.713,SPEAKER_00
1015280,1035110,63.455,64.694,1.239,SPEAKER_00
1075314,1079388,67.207,67.462,0.255,SPEAKER_01
1088081,1149202,68.005,71.825,3.82,SPEAKER_01
1139694,1151375,71.231,71.961,0.73,SPEAKER_00
