start,end,start [s],end [s],dur [s],speaker
135,131341,0.008,8.209,8.2,SPEAKER_02
139762,159049,8.735,9.941,1.205,SPEAKER_02
177792,181324,11.112,11.333,0.221,SPEAKER_00
198981,298675,12.436,18.667,6.231,SPEAKER_02
337521,389134,21.095,24.321,3.226,SPEAKER_02
422275,479049,26.392,29.941,3.548,SPEAKER_02
564617,575212,35.289,35.951,0.662,SPEAKER_00
825942,853650,51.621,53.353,1.732,SPEAKER_01
854193,898471,53.387,56.154,2.767,SPEAKER_01
928081,940848,58.005,58.803,0.798,SPEAKER_01
976162,990560,61.01,61.91,0.9,SPEAKER_01
