start,end,start [s],end [s],dur [s],speaker
21867,59626,1.367,3.727,2.36,SPEAKER_02
69405,118302,4.338,7.394,3.056,SPEAKER_02
121018,126994,7.564,7.937,0.374,SPEAKER_00
127538,139490,7.971,8.718,0.747,SPEAKER_02
144108,157419,9.007,9.839,0.832,SPEAKER_02
180780,189745,11.299,11.859,0.56,SPEAKER_00
216366,227504,13.523,14.219,0.696,SPEAKER_00
251137,266349,15.696,16.647,0.951,SPEAKER_00
345127,362241,21.57,22.64,1.07,SPEAKER_01
397826,408964,24.864,25.56,0.696,SPEAKER_01
443735,455687,27.733,28.48,0.747,SPEAKER_01
481494,495076,30.093,30.942,0.849,SPEAKER_01
529303,541528,33.081,33.846,0.764,SPEAKER_01
561901,574940,35.119,35.934,0.815,SPEAKER_01
628183,643395,39.261,40.212,0.951,SPEAKER_01
669202,689032,41.825,43.065,1.239,SPEAKER_01
850662,883259,53.166,55.204,2.037,SPEAKER_01
914227,923735,57.139,57.733,0.594,SPEAKER_01
979422,993276,61.214,62.08,0.866,SPEAKER_01
1057928,1072054,66.121,67.003,0.883,SPEAKER_01
1100577,1110084,68.786,69.38,0.594,SPEAKER_01
1122308,1135076,70.144,70.942,0.798,SPEAKER_02
