start,end,start [s],end [s],dur [s],speaker
135,65874,0.008,4.117,4.109,SPEAKER_01
89779,95755,5.611,5.985,0.374,SPEAKER_01
135959,213378,8.497,13.336,4.839,SPEAKER_01
259286,285636,16.205,17.852,1.647,SPEAKER_01
386146,403803,24.134,25.238,1.104,SPEAKER_01
468998,482852,29.312,30.178,0.866,SPEAKER_01
496706,510560,31.044,31.91,0.866,SPEAKER_01
548590,577928,34.287,36.121,1.834,SPEAKER_01
662682,677623,41.418,42.351,0.934,SPEAKER_00
723531,739558,45.221,46.222,1.002,SPEAKER_00
806383,819966,50.399,51.248,0.849,SPEAKER_00
902275,913684,56.392,57.105,0.713,SPEAKER_00
959864,973446,59.992,60.84,0.849,SPEAKER_00
