start,end,start [s],end [s],dur [s],speaker
10186,24312,0.637,1.52,0.883,SPEAKER_01
35178,50933,2.199,3.183,0.985,SPEAKER_01
55823,66146,3.489,4.134,0.645,SPEAKER_01
71850,82173,4.491,5.136,0.645,SPEAKER_01
105263,128081,6.579,8.005,1.426,SPEAKER_01
196264,263089,12.267,16.443,4.177,SPEAKER_03
223157,223701,13.947,13.981,0.034,SPEAKER_00
223701,223972,13.981,13.998,0.017,SPEAKER_01
223972,229134,13.998,14.321,0.323,SPEAKER_00
229134,230492,14.321,14.406,0.085,SPEAKER_01
230492,233208,14.406,14.576,0.17,SPEAKER_00
233208,235382,14.576,14.711,0.136,SPEAKER_01
347300,395925,21.706,24.745,3.039,SPEAKER_02
565976,589881,35.374,36.868,1.494,SPEAKER_03
643395,653989,40.212,40.874,0.662,SPEAKER_01
821052,835721,51.316,52.233,0.917,SPEAKER_00
848217,866960,53.014,54.185,1.171,SPEAKER_00
886247,891952,55.39,55.747,0.357,SPEAKER_00
