start,end,start [s],end [s],dur [s],speaker
9371,15891,0.586,0.993,0.407,SPEAKER_01
28115,36264,1.757,2.267,0.509,SPEAKER_01
59083,66689,3.693,4.168,0.475,SPEAKER_01
87877,107979,5.492,6.749,1.256,SPEAKER_01
157962,177792,9.873,11.112,1.239,SPEAKER_01
241629,249507,15.102,15.594,0.492,SPEAKER_01
335348,344584,20.959,21.537,0.577,SPEAKER_01
427436,438573,26.715,27.411,0.696,SPEAKER_01
523056,533378,32.691,33.336,0.645,SPEAKER_01
565432,576027,35.34,36.002,0.662,SPEAKER_01
580373,599117,36.273,37.445,1.171,SPEAKER_01
670288,681697,41.893,42.606,0.713,SPEAKER_01
735483,746078,45.968,46.63,0.662,SPEAKER_01
848217,848488,53.014,53.031,0.017,SPEAKER_01
848488,855008,53.031,53.438,0.407,SPEAKER_00
932427,959049,58.277,59.941,1.664,SPEAKER_00
