start,end,start [s],end [s],dur [s],speaker
135,110424,0.008,6.902,6.893,SPEAKER_04
120747,121018,7.547,7.564,0.017,SPEAKER_04
121290,139490,7.581,8.718,1.138,SPEAKER_04
209575,229405,13.098,14.338,1.239,SPEAKER_04
289168,357894,18.073,22.368,4.295,SPEAKER_04
386417,402444,24.151,25.153,1.002,SPEAKER_04
459762,465195,28.735,29.075,0.34,SPEAKER_03
514906,527130,32.182,32.946,0.764,SPEAKER_03
542342,573582,33.896,35.849,1.952,SPEAKER_03
625466,699626,39.092,43.727,4.635,SPEAKER_02
728692,737928,45.543,46.121,0.577,SPEAKER_00
848488,867504,53.031,54.219,1.188,SPEAKER_01
884617,890865,55.289,55.679,0.39,SPEAKER_01
893853,911511,55.866,56.969,1.104,SPEAKER_01
934601,948998,58.413,59.312,0.9,SPEAKER_01
