start,end,start [s],end [s],dur [s],speaker
6383,31375,0.399,1.961,1.562,SPEAKER_00
48488,86791,3.031,5.424,2.394,SPEAKER_00
109337,122648,6.834,7.666,0.832,SPEAKER_00
141120,159592,8.82,9.975,1.154,SPEAKER_00
174804,187843,10.925,11.74,0.815,SPEAKER_00
224787,240814,14.049,15.051,1.002,SPEAKER_00
270152,286451,16.885,17.903,1.019,SPEAKER_00
305466,316876,19.092,19.805,0.713,SPEAKER_00
330458,349473,20.654,21.842,1.188,SPEAKER_00
420645,433140,26.29,27.071,0.781,SPEAKER_00
480407,495348,30.025,30.959,0.934,SPEAKER_00
520339,564617,32.521,35.289,2.767,SPEAKER_00
597215,646926,37.326,40.433,3.107,SPEAKER_00
662139,694193,41.384,43.387,2.003,SPEAKER_00
702886,719728,43.93,44.983,1.053,SPEAKER_00
722173,736298,45.136,46.019,0.883,SPEAKER_00
743361,759660,46.46,47.479,1.019,SPEAKER_00
801765,818607,50.11,51.163,1.053,SPEAKER_01
850933,883259,53.183,55.204,2.02,SPEAKER_01
912325,928896,57.02,58.056,1.036,SPEAKER_01
