start,end,start [s],end [s],dur [s],speaker
20780,25670,1.299,1.604,0.306,SPEAKER_01
32733,36808,2.046,2.301,0.255,SPEAKER_01
37623,45500,2.351,2.844,0.492,SPEAKER_01
82173,82716,5.136,5.17,0.034,SPEAKER_01
82716,94940,5.17,5.934,0.764,SPEAKER_03
113412,153344,7.088,9.584,2.496,SPEAKER_01
172903,184312,10.806,11.52,0.713,SPEAKER_01
213106,223701,13.319,13.981,0.662,SPEAKER_03
341867,353548,21.367,22.097,0.73,SPEAKER_02
544787,551307,34.049,34.457,0.407,SPEAKER_03
554295,588794,34.643,36.8,2.156,SPEAKER_03
598302,605636,37.394,37.852,0.458,SPEAKER_00
661324,683327,41.333,42.708,1.375,SPEAKER_03
789813,803667,49.363,50.229,0.866,SPEAKER_03
912054,923191,57.003,57.699,0.696,SPEAKER_00
925365,951171,57.835,59.448,1.613,SPEAKER_00
953344,983769,59.584,61.486,1.902,SPEAKER_00
