start,end,start [s],end [s],dur [s],speaker
16977,35178,1.061,2.199,1.138,SPEAKER_00
73752,83803,4.61,5.238,0.628,SPEAKER_00
110152,121561,6.885,7.598,0.713,SPEAKER_00
169915,179966,10.62,11.248,0.628,SPEAKER_00
256027,293514,16.002,18.345,2.343,SPEAKER_00
301120,313344,18.82,19.584,0.764,SPEAKER_00
333989,345398,20.874,21.587,0.713,SPEAKER_00
375551,384516,23.472,24.032,0.56,SPEAKER_00
408421,444821,25.526,27.801,2.275,SPEAKER_00
509745,551307,31.859,34.457,2.598,SPEAKER_00
615415,621935,38.463,38.871,0.407,SPEAKER_00
634702,649100,39.669,40.569,0.9,SPEAKER_00
671375,700441,41.961,43.778,1.817,SPEAKER_00
710220,720543,44.389,45.034,0.645,SPEAKER_00
711035,718370,44.44,44.898,0.458,SPEAKER_01
721358,734125,45.085,45.883,0.798,SPEAKER_00
743904,757215,46.494,47.326,0.832,SPEAKER_00
774329,784108,48.396,49.007,0.611,SPEAKER_00
792529,810458,49.533,50.654,1.121,SPEAKER_00
819966,835178,51.248,52.199,0.951,SPEAKER_00
840882,870492,52.555,54.406,1.851,SPEAKER_00
920747,944380,57.547,59.024,1.477,SPEAKER_00
979966,1012563,61.248,63.285,2.037,SPEAKER_00
1007130,1007945,62.946,62.997,0.051,SPEAKER_01
1015823,1036740,63.489,64.796,1.307,SPEAKER_00
1039456,1045704,64.966,65.357,0.39,SPEAKER_00
1062546,1077215,66.409,67.326,0.917,SPEAKER_00
1117147,1141052,69.822,71.316,1.494,SPEAKER_00
1173650,1235585,73.353,77.224,3.871,SPEAKER_00
1250797,1261663,78.175,78.854,0.679,SPEAKER_00
1333378,1339626,83.336,83.727,0.39,SPEAKER_00
1362716,1437419,85.17,89.839,4.669,SPEAKER_00
1445840,1449100,90.365,90.569,0.204,SPEAKER_00
