start,end,start [s],end [s],dur [s],speaker
135,71850,0.008,4.491,4.482,SPEAKER_00
98471,121561,6.154,7.598,1.443,SPEAKER_00
124821,255755,7.801,15.985,8.183,SPEAKER_00
279932,293242,17.496,18.328,0.832,SPEAKER_00
304380,307640,19.024,19.228,0.204,SPEAKER_00
315789,326926,19.737,20.433,0.696,SPEAKER_00
347028,359524,21.689,22.47,0.781,SPEAKER_00
388590,411409,24.287,25.713,1.426,SPEAKER_00
440475,470356,27.53,29.397,1.868,SPEAKER_00
476876,514634,29.805,32.165,2.36,SPEAKER_00
577113,586893,36.07,36.681,0.611,SPEAKER_00
612427,640950,38.277,40.059,1.783,SPEAKER_00
658064,689847,41.129,43.115,1.986,SPEAKER_00
695551,709949,43.472,44.372,0.9,SPEAKER_00
733853,747164,45.866,46.698,0.832,SPEAKER_00
764550,777860,47.784,48.616,0.832,SPEAKER_00
782478,794974,48.905,49.686,0.781,SPEAKER_00
811273,828115,50.705,51.757,1.053,SPEAKER_00
831918,895755,51.995,55.985,3.99,SPEAKER_00
929168,935415,58.073,58.463,0.39,SPEAKER_00
