start,end,start [s],end [s],dur [s],speaker
4210,8556,0.263,0.535,0.272,SPEAKER_01
12631,22139,0.789,1.384,0.594,SPEAKER_01
31375,38981,1.961,2.436,0.475,SPEAKER_01
85432,106078,5.34,6.63,1.29,SPEAKER_01
161765,172631,10.11,10.789,0.679,SPEAKER_01
186213,195449,11.638,12.216,0.577,SPEAKER_01
452427,464108,28.277,29.007,0.73,SPEAKER_01
489643,501324,30.603,31.333,0.73,SPEAKER_01
566519,576298,35.407,36.019,0.611,SPEAKER_01
650458,661324,40.654,41.333,0.679,SPEAKER_01
681969,691748,42.623,43.234,0.611,SPEAKER_01
758573,772156,47.411,48.26,0.849,SPEAKER_01
917487,930526,57.343,58.158,0.815,SPEAKER_00
1019083,1028319,63.693,64.27,0.577,SPEAKER_00
