start,end,start [s],end [s],dur [s],speaker
8285,15619,0.518,0.976,0.458,SPEAKER_01
37079,48217,2.317,3.014,0.696,SPEAKER_01
51748,65059,3.234,4.066,0.832,SPEAKER_01
92224,102003,5.764,6.375,0.611,SPEAKER_01
139762,140305,8.735,8.769,0.034,SPEAKER_01
140305,140577,8.769,8.786,0.017,SPEAKER_00
140577,145738,8.786,9.109,0.323,SPEAKER_01
154974,223157,9.686,13.947,4.261,SPEAKER_01
240271,249779,15.017,15.611,0.594,SPEAKER_01
295144,307096,18.447,19.194,0.747,SPEAKER_01
344312,357894,21.52,22.368,0.849,SPEAKER_01
394023,401629,24.626,25.102,0.475,SPEAKER_01
439388,472258,27.462,29.516,2.054,SPEAKER_01
483395,496162,30.212,31.01,0.798,SPEAKER_01
496162,497521,31.01,31.095,0.085,SPEAKER_00
520067,527945,32.504,32.997,0.492,SPEAKER_01
527945,529575,32.997,33.098,0.102,SPEAKER_00
529575,530390,33.098,33.149,0.051,SPEAKER_01
530390,530662,33.149,33.166,0.017,SPEAKER_00
571680,586621,35.73,36.664,0.934,SPEAKER_00
623022,632529,38.939,39.533,0.594,SPEAKER_00
673820,677894,42.114,42.368,0.255,SPEAKER_01
680339,683599,42.521,42.725,0.204,SPEAKER_01
722444,729507,45.153,45.594,0.441,SPEAKER_01
762648,776230,47.666,48.514,0.849,SPEAKER_01
793887,853650,49.618,53.353,3.735,SPEAKER_01
883259,910967,55.204,56.935,1.732,SPEAKER_01
923191,930526,57.699,58.158,0.458,SPEAKER_01
