start,end,start [s],end [s],dur [s],speaker
25942,35721,1.621,2.233,0.611,SPEAKER_01
36536,44414,2.284,2.776,0.492,SPEAKER_01
83259,118573,5.204,7.411,2.207,SPEAKER_01
122105,126451,7.632,7.903,0.272,SPEAKER_01
172088,185670,10.756,11.604,0.849,SPEAKER_01
185942,189745,11.621,11.859,0.238,SPEAKER_01
248421,259286,15.526,16.205,0.679,SPEAKER_01
315517,327470,19.72,20.467,0.747,SPEAKER_01
557011,592325,34.813,37.02,2.207,SPEAKER_01
604278,629541,37.767,39.346,1.579,SPEAKER_00
649371,664584,40.586,41.537,0.951,SPEAKER_01
664584,665398,41.537,41.587,0.051,SPEAKER_00
665398,666485,41.587,41.655,0.068,SPEAKER_01
757758,774057,47.36,48.379,1.019,SPEAKER_01
799320,799592,49.958,49.975,0.017,SPEAKER_01
799864,812088,49.992,50.756,0.764,SPEAKER_01
839796,849303,52.487,53.081,0.594,SPEAKER_01
852292,862071,53.268,53.879,0.611,SPEAKER_01
911782,923191,56.986,57.699,0.713,SPEAKER_01
