start,end,start [s],end [s],dur [s],speaker
8013,17792,0.501,1.112,0.611,SPEAKER_00
45500,53921,2.844,3.37,0.526,SPEAKER_00
109609,119388,6.851,7.462,0.611,SPEAKER_00
135687,145195,8.48,9.075,0.594,SPEAKER_01
177521,185398,11.095,11.587,0.492,SPEAKER_00
222342,232665,13.896,14.542,0.645,SPEAKER_00
257928,269881,16.121,16.868,0.747,SPEAKER_00
288081,301120,18.005,18.82,0.815,SPEAKER_01
323123,337792,20.195,21.112,0.917,SPEAKER_00
337792,366587,21.112,22.912,1.8,SPEAKER_01
402173,410865,25.136,25.679,0.543,SPEAKER_01
414668,435042,25.917,27.19,1.273,SPEAKER_01
627096,663769,39.194,41.486,2.292,SPEAKER_00
692020,732224,43.251,45.764,2.513,SPEAKER_00
774601,784108,48.413,49.007,0.594,SPEAKER_00
811816,822139,50.739,51.384,0.645,SPEAKER_00
843327,851748,52.708,53.234,0.526,SPEAKER_00
878098,886519,54.881,55.407,0.526,SPEAKER_00
904719,913955,56.545,57.122,0.577,SPEAKER_00
949813,960679,59.363,60.042,0.679,SPEAKER_00
