start,end,start [s],end [s],dur [s],speaker
48760,55551,3.048,3.472,0.424,SPEAKER_01
72937,88149,4.559,5.509,0.951,SPEAKER_01
99830,118573,6.239,7.411,1.171,SPEAKER_01
136502,153616,8.531,9.601,1.07,SPEAKER_01
175619,209847,10.976,13.115,2.139,SPEAKER_01
488556,502682,30.535,31.418,0.883,SPEAKER_00
527945,571137,32.997,35.696,2.699,SPEAKER_01
581460,643667,36.341,40.229,3.888,SPEAKER_01
662410,700984,41.401,43.812,2.411,SPEAKER_01
735755,752325,45.985,47.02,1.036,SPEAKER_01
772699,806112,48.294,50.382,2.088,SPEAKER_01
830560,877011,51.91,54.813,2.903,SPEAKER_01
900101,975891,56.256,60.993,4.737,SPEAKER_01
