start,end,start [s],end [s],dur [s],speaker
135,287538,0.008,17.971,17.963,SPEAKER_00
316876,335891,19.805,20.993,1.188,SPEAKER_00
337249,379354,21.078,23.71,2.632,SPEAKER_00
383157,429609,23.947,26.851,2.903,SPEAKER_00
440475,460848,27.53,28.803,1.273,SPEAKER_00
479592,479864,29.975,29.992,0.017,SPEAKER_00
479864,480135,29.992,30.008,0.017,SPEAKER_01
480135,492631,30.008,30.789,0.781,SPEAKER_00
492631,493718,30.789,30.857,0.068,SPEAKER_01
510288,579830,31.893,36.239,4.346,SPEAKER_01
592054,735212,37.003,45.951,8.947,SPEAKER_01
767538,777860,47.971,48.616,0.645,SPEAKER_00
854193,915042,53.387,57.19,3.803,SPEAKER_00
942750,976706,58.922,61.044,2.122,SPEAKER_00
