start,end,start [s],end [s],dur [s],speaker
49032,56638,3.065,3.54,0.475,SPEAKER_00
99286,148455,6.205,9.278,3.073,SPEAKER_00
171816,207674,10.739,12.98,2.241,SPEAKER_00
228590,235925,14.287,14.745,0.458,SPEAKER_00
266621,288081,16.664,18.005,1.341,SPEAKER_00
298132,343497,18.633,21.469,2.835,SPEAKER_00
362784,457589,22.674,28.599,5.925,SPEAKER_00
529303,540169,33.081,33.761,0.679,SPEAKER_00
674091,686315,42.131,42.895,0.764,SPEAKER_00
822954,833820,51.435,52.114,0.679,SPEAKER_00
898200,908522,56.138,56.783,0.645,SPEAKER_00
1088624,1119864,68.039,69.992,1.952,SPEAKER_00
1179083,1196468,73.693,74.779,1.087,SPEAKER_00
1341528,1349405,83.846,84.338,0.492,SPEAKER_00
1350220,1350492,84.389,84.406,0.017,SPEAKER_00
1352665,1352937,84.542,84.559,0.017,SPEAKER_00
1392325,1404821,87.02,87.801,0.781,SPEAKER_00
1424108,1434159,89.007,89.635,0.628,SPEAKER_00
1461052,1517555,91.316,94.847,3.531,SPEAKER_00
1522716,1538471,95.17,96.154,0.985,SPEAKER_00
1580305,1608556,98.769,100.535,1.766,SPEAKER_00
1669949,1683803,104.372,105.238,0.866,SPEAKER_00
1743293,1758505,108.956,109.907,0.951,SPEAKER_00
1814736,1979354,113.421,123.71,10.289,SPEAKER_00
2253718,2263225,140.857,141.452,0.594,SPEAKER_00
2276536,2303701,142.284,143.981,1.698,SPEAKER_00
