start,end,start [s],end [s],dur [s],speaker
30288,43599,1.893,2.725,0.832,SPEAKER_00
54193,71578,3.387,4.474,1.087,SPEAKER_00
79456,132971,4.966,8.311,3.345,SPEAKER_00
146281,161494,9.143,10.093,0.951,SPEAKER_00
192733,203599,12.046,12.725,0.679,SPEAKER_00
234295,243531,14.643,15.221,0.577,SPEAKER_00
292156,301663,18.26,18.854,0.594,SPEAKER_00
348658,381256,21.791,23.829,2.037,SPEAKER_00
474702,488013,29.669,30.501,0.832,SPEAKER_00
531477,532020,33.217,33.251,0.034,SPEAKER_00
534736,537996,33.421,33.625,0.204,SPEAKER_00
736027,741188,46.002,46.324,0.323,SPEAKER_01
761018,789541,47.564,49.346,1.783,SPEAKER_00
801222,831103,50.076,51.944,1.868,SPEAKER_01
831103,831375,51.944,51.961,0.017,SPEAKER_00
831375,832190,51.961,52.012,0.051,SPEAKER_01
832190,844957,52.012,52.81,0.798,SPEAKER_00
833276,844142,52.08,52.759,0.679,SPEAKER_01
844957,944651,52.81,59.041,6.231,SPEAKER_01
951443,967470,59.465,60.467,1.002,SPEAKER_00
