start,end,start [s],end [s],dur [s],speaker
13989,52563,0.874,3.285,2.411,SPEAKER_01
65602,93039,4.1,5.815,1.715,SPEAKER_01
94940,144108,5.934,9.007,3.073,SPEAKER_01
145738,163938,9.109,10.246,1.138,SPEAKER_01
175891,200882,10.993,12.555,1.562,SPEAKER_01
219626,234295,13.727,14.643,0.917,SPEAKER_01
255755,275857,15.985,17.241,1.256,SPEAKER_01
284550,307368,17.784,19.211,1.426,SPEAKER_01
323123,333718,20.195,20.857,0.662,SPEAKER_01
351918,367945,21.995,22.997,1.002,SPEAKER_01
403803,424448,25.238,26.528,1.29,SPEAKER_01
446723,458404,27.92,28.65,0.73,SPEAKER_01
479864,495076,29.992,30.942,0.951,SPEAKER_01
524957,531205,32.81,33.2,0.39,SPEAKER_01
703429,733039,43.964,45.815,1.851,SPEAKER_00
742546,759660,46.409,47.479,1.07,SPEAKER_01
759932,761833,47.496,47.615,0.119,SPEAKER_01
766451,790899,47.903,49.431,1.528,SPEAKER_01
831918,835178,51.995,52.199,0.204,SPEAKER_00
841969,855280,52.623,53.455,0.832,SPEAKER_01
887877,901460,55.492,56.341,0.849,SPEAKER_01
926723,944380,57.92,59.024,1.104,SPEAKER_01
