start,end,start [s],end [s],dur [s],speaker
135,6926,0.008,0.433,0.424,SPEAKER_00
27572,131341,1.723,8.209,6.486,SPEAKER_00
163123,181867,10.195,11.367,1.171,SPEAKER_00
210390,306553,13.149,19.16,6.01,SPEAKER_00
332359,365500,20.772,22.844,2.071,SPEAKER_00
373650,385874,23.353,24.117,0.764,SPEAKER_00
392122,413853,24.508,25.866,1.358,SPEAKER_00
423633,448081,26.477,28.005,1.528,SPEAKER_00
453242,456502,28.328,28.531,0.204,SPEAKER_01
462478,478234,28.905,29.89,0.985,SPEAKER_00
473344,477419,29.584,29.839,0.255,SPEAKER_01
478234,489371,29.89,30.586,0.696,SPEAKER_01
502682,526315,31.418,32.895,1.477,SPEAKER_00
532563,550764,33.285,34.423,1.138,SPEAKER_00
595314,682512,37.207,42.657,5.45,SPEAKER_00
712122,727334,44.508,45.458,0.951,SPEAKER_00
733853,744991,45.866,46.562,0.696,SPEAKER_00
