start,end,start [s],end [s],dur [s],speaker
10730,107436,0.671,6.715,6.044,SPEAKER_02
103089,131341,6.443,8.209,1.766,SPEAKER_03
137317,182139,8.582,11.384,2.801,SPEAKER_02
193005,248964,12.063,15.56,3.497,SPEAKER_02
260645,304108,16.29,19.007,2.716,SPEAKER_02
388047,405432,24.253,25.34,1.087,SPEAKER_01
405432,408149,25.34,25.509,0.17,SPEAKER_00
458675,513548,28.667,32.097,3.43,SPEAKER_01
519524,556468,32.47,34.779,2.309,SPEAKER_00
562444,572495,35.153,35.781,0.628,SPEAKER_00
595585,599932,37.224,37.496,0.272,SPEAKER_00
601561,629813,37.598,39.363,1.766,SPEAKER_00
649643,655891,40.603,40.993,0.39,SPEAKER_00
788455,842512,49.278,52.657,3.379,SPEAKER_04
862614,879185,53.913,54.949,1.036,SPEAKER_04
