start,end,start [s],end [s],dur [s],speaker
27572,46587,1.723,2.912,1.188,SPEAKER_03
107436,121290,6.715,7.581,0.866,SPEAKER_03
176706,190831,11.044,11.927,0.883,SPEAKER_03
246247,265263,15.39,16.579,1.188,SPEAKER_03
328285,347028,20.518,21.689,1.171,SPEAKER_03
386417,405432,24.151,25.34,1.188,SPEAKER_03
464651,480135,29.041,30.008,0.968,SPEAKER_00
621392,637962,38.837,39.873,1.036,SPEAKER_01
714023,768624,44.626,48.039,3.413,SPEAKER_02
846315,867775,52.895,54.236,1.341,SPEAKER_02
919660,936502,57.479,58.531,1.053,SPEAKER_02
