start,end,start [s],end [s],dur [s],speaker
135,121833,0.008,7.615,7.606,SPEAKER_01
140848,188387,8.803,11.774,2.971,SPEAKER_01
219354,234567,13.71,14.66,0.951,SPEAKER_01
260101,271511,16.256,16.969,0.713,SPEAKER_01
291069,349202,18.192,21.825,3.633,SPEAKER_01
375551,435314,23.472,27.207,3.735,SPEAKER_01
479320,493174,29.958,30.823,0.866,SPEAKER_01
559728,569235,34.983,35.577,0.594,SPEAKER_01
597758,668115,37.36,41.757,4.397,SPEAKER_01
674091,705874,42.131,44.117,1.986,SPEAKER_01
749066,764278,46.817,47.767,0.951,SPEAKER_01
775687,777589,48.48,48.599,0.119,SPEAKER_00
777589,784108,48.599,49.007,0.407,SPEAKER_01
784108,788998,49.007,49.312,0.306,SPEAKER_00
788998,789813,49.312,49.363,0.051,SPEAKER_01
863701,944108,53.981,59.007,5.025,SPEAKER_00
