start,end,start [s],end [s],dur [s],speaker
2852,13446,0.178,0.84,0.662,SPEAKER_00
26485,38438,1.655,2.402,0.747,SPEAKER_00
55280,69134,3.455,4.321,0.866,SPEAKER_00
86519,95755,5.407,5.985,0.577,SPEAKER_00
124550,142207,7.784,8.888,1.104,SPEAKER_00
184040,194634,11.503,12.165,0.662,SPEAKER_00
213650,226417,13.353,14.151,0.798,SPEAKER_00
244889,256027,15.306,16.002,0.696,SPEAKER_00
298947,311443,18.684,19.465,0.781,SPEAKER_00
347572,365772,21.723,22.861,1.138,SPEAKER_00
372835,395382,23.302,24.711,1.409,SPEAKER_00
399728,406519,24.983,25.407,0.424,SPEAKER_00
410322,416570,25.645,26.036,0.39,SPEAKER_00
426893,438030,26.681,27.377,0.696,SPEAKER_00
461392,469269,28.837,29.329,0.492,SPEAKER_00
519796,533106,32.487,33.319,0.832,SPEAKER_00
571137,586078,35.696,36.63,0.934,SPEAKER_00
663497,676536,41.469,42.284,0.815,SPEAKER_00
694736,709134,43.421,44.321,0.9,SPEAKER_00
728149,748522,45.509,46.783,1.273,SPEAKER_00
768896,774329,48.056,48.396,0.34,SPEAKER_00
785466,803667,49.092,50.229,1.138,SPEAKER_00
809100,822410,50.569,51.401,0.832,SPEAKER_00
864516,872937,54.032,54.559,0.526,SPEAKER_00
898471,916129,56.154,57.258,1.104,SPEAKER_00
922376,937860,57.649,58.616,0.968,SPEAKER_00
