start,end,start [s],end [s],dur [s],speaker
15348,52563,0.959,3.285,2.326,SPEAKER_01
65602,136774,4.1,8.548,4.448,SPEAKER_01
153616,168013,9.601,10.501,0.9,SPEAKER_01
174533,288081,10.908,18.005,7.097,SPEAKER_01
313887,329371,19.618,20.586,0.968,SPEAKER_01
350016,364685,21.876,22.793,0.917,SPEAKER_01
419830,436943,26.239,27.309,1.07,SPEAKER_01
496977,520882,31.061,32.555,1.494,SPEAKER_01
556468,573310,34.779,35.832,1.053,SPEAKER_01
653174,670560,40.823,41.91,1.087,SPEAKER_01
741731,759388,46.358,47.462,1.104,SPEAKER_00
893582,911239,55.849,56.952,1.104,SPEAKER_01
