start,end,start [s],end [s],dur [s],speaker
33005,122105,2.063,7.632,5.569,SPEAKER_01
151986,210118,9.499,13.132,3.633,SPEAKER_01
236196,248149,14.762,15.509,0.747,SPEAKER_01
262818,271511,16.426,16.969,0.543,SPEAKER_01
300577,315517,18.786,19.72,0.934,SPEAKER_01
336434,351918,21.027,21.995,0.968,SPEAKER_01
340237,345398,21.265,21.587,0.323,SPEAKER_00
345670,347028,21.604,21.689,0.085,SPEAKER_00
370390,382342,23.149,23.896,0.747,SPEAKER_01
382342,382614,23.896,23.913,0.017,SPEAKER_00
383972,391850,23.998,24.491,0.492,SPEAKER_00
398098,455687,24.881,28.48,3.599,SPEAKER_00
478234,517351,29.89,32.334,2.445,SPEAKER_00
489100,501595,30.569,31.35,0.781,SPEAKER_01
