start,end,start [s],end [s],dur [s],speaker
135,3395,0.008,0.212,0.204,SPEAKER_01
44414,141120,2.776,8.82,6.044,SPEAKER_01
207130,223972,12.946,13.998,1.053,SPEAKER_01
313616,330186,19.601,20.637,1.036,SPEAKER_01
365500,381256,22.844,23.829,0.985,SPEAKER_01
488285,517894,30.518,32.368,1.851,SPEAKER_00
593684,605636,37.105,37.852,0.747,SPEAKER_01
605636,605908,37.852,37.869,0.017,SPEAKER_00
659694,676264,41.231,42.267,1.036,SPEAKER_01
796332,809371,49.771,50.586,0.815,SPEAKER_01
894125,934057,55.883,58.379,2.496,SPEAKER_01
