start,end,start [s],end [s],dur [s],speaker
135,17792,0.008,1.112,1.104,SPEAKER_01
25942,45772,1.621,2.861,1.239,SPEAKER_01
34906,40882,2.182,2.555,0.374,SPEAKER_00
60441,80000,3.778,5.0,1.222,SPEAKER_01
81086,94397,5.068,5.9,0.832,SPEAKER_01
103089,112325,6.443,7.02,0.577,SPEAKER_01
133514,143565,8.345,8.973,0.628,SPEAKER_01
168556,176434,10.535,11.027,0.492,SPEAKER_01
212835,256027,13.302,16.002,2.699,SPEAKER_01
269337,273955,16.834,17.122,0.289,SPEAKER_01
297589,306825,18.599,19.177,0.577,SPEAKER_01
350016,364414,21.876,22.776,0.9,SPEAKER_01
389134,414668,24.321,25.917,1.596,SPEAKER_00
414668,437758,25.917,27.36,1.443,SPEAKER_01
450797,477962,28.175,29.873,1.698,SPEAKER_01
479592,492631,29.975,30.789,0.815,SPEAKER_00
511646,524142,31.978,32.759,0.781,SPEAKER_01
534736,546417,33.421,34.151,0.73,SPEAKER_01
628998,647741,39.312,40.484,1.171,SPEAKER_01
898200,907979,56.138,56.749,0.611,SPEAKER_01
928624,936502,58.039,58.531,0.492,SPEAKER_01
973446,984584,60.84,61.537,0.696,SPEAKER_01
975891,991918,60.993,61.995,1.002,SPEAKER_00
991918,1004414,61.995,62.776,0.781,SPEAKER_01
