start,end,start [s],end [s],dur [s],speaker
135,130526,0.008,8.158,8.149,SPEAKER_00
53106,59626,3.319,3.727,0.407,SPEAKER_01
157962,536366,9.873,33.523,23.65,SPEAKER_00
550220,618675,34.389,38.667,4.278,SPEAKER_00
628998,667300,39.312,41.706,2.394,SPEAKER_00
678438,994634,42.402,62.165,19.762,SPEAKER_00
1006044,1108726,62.878,69.295,6.418,SPEAKER_00
1130730,1154091,70.671,72.131,1.46,SPEAKER_00
1162241,1213853,72.64,75.866,3.226,SPEAKER_00
1222818,1274159,76.426,79.635,3.209,SPEAKER_00
1287198,1315993,80.45,82.25,1.8,SPEAKER_00
1324414,1380101,82.776,86.256,3.48,SPEAKER_00
