start,end,start [s],end [s],dur [s],speaker
16434,23769,1.027,1.486,0.458,SPEAKER_01
25398,69134,1.587,4.321,2.733,SPEAKER_01
93310,107436,5.832,6.715,0.883,SPEAKER_01
155246,184584,9.703,11.537,1.834,SPEAKER_01
217724,228319,13.608,14.27,0.662,SPEAKER_01
238370,251137,14.898,15.696,0.798,SPEAKER_01
267979,299219,16.749,18.701,1.952,SPEAKER_01
323667,335348,20.229,20.959,0.73,SPEAKER_01
353820,357351,22.114,22.334,0.221,SPEAKER_01
376366,416842,23.523,26.053,2.53,SPEAKER_01
438302,449711,27.394,28.107,0.713,SPEAKER_01
461663,473887,28.854,29.618,0.764,SPEAKER_01
498879,508115,31.18,31.757,0.577,SPEAKER_01
574668,587436,35.917,36.715,0.798,SPEAKER_01
623022,671103,38.939,41.944,3.005,SPEAKER_01
689847,690118,43.115,43.132,0.017,SPEAKER_00
690118,699354,43.132,43.71,0.577,SPEAKER_01
699354,699626,43.71,43.727,0.017,SPEAKER_00
739558,757758,46.222,47.36,1.138,SPEAKER_00
856095,869677,53.506,54.355,0.849,SPEAKER_00
888149,888421,55.509,55.526,0.017,SPEAKER_00
888421,902546,55.526,56.409,0.883,SPEAKER_01
918573,925636,57.411,57.852,0.441,SPEAKER_00
953344,960950,59.584,60.059,0.475,SPEAKER_00
