start,end,start [s],end [s],dur [s],speaker
4753,13718,0.297,0.857,0.56,SPEAKER_01
51205,80814,3.2,5.051,1.851,SPEAKER_01
98743,113412,6.171,7.088,0.917,SPEAKER_01
142478,144108,8.905,9.007,0.102,SPEAKER_01
144108,156332,9.007,9.771,0.764,SPEAKER_00
156332,157691,9.771,9.856,0.085,SPEAKER_01
242716,272054,15.17,17.003,1.834,SPEAKER_00
243803,259286,15.238,16.205,0.968,SPEAKER_01
272054,290797,17.003,18.175,1.171,SPEAKER_01
392937,404346,24.559,25.272,0.713,SPEAKER_01
460848,472258,28.803,29.516,0.713,SPEAKER_01
515178,524142,32.199,32.759,0.56,SPEAKER_01
566791,579558,35.424,36.222,0.798,SPEAKER_01
619762,628726,38.735,39.295,0.56,SPEAKER_01
673548,681426,42.097,42.589,0.492,SPEAKER_01
880000,892224,55.0,55.764,0.764,SPEAKER_01
925365,926179,57.835,57.886,0.051,SPEAKER_01
926451,931612,57.903,58.226,0.323,SPEAKER_01
966112,975891,60.382,60.993,0.611,SPEAKER_01
