start,end,start [s],end [s],dur [s],speaker
135,12631,0.008,0.789,0.781,SPEAKER_00
25398,38166,1.587,2.385,0.798,SPEAKER_00
56095,85432,3.506,5.34,1.834,SPEAKER_00
116943,138404,7.309,8.65,1.341,SPEAKER_00
166383,211477,10.399,13.217,2.818,SPEAKER_00
228319,253039,14.27,15.815,1.545,SPEAKER_00
296230,350560,18.514,21.91,3.396,SPEAKER_00
385331,433684,24.083,27.105,3.022,SPEAKER_00
448081,494804,28.005,30.925,2.92,SPEAKER_00
506213,520339,31.638,32.521,0.883,SPEAKER_00
533650,560814,33.353,35.051,1.698,SPEAKER_00
610526,674906,38.158,42.182,4.024,SPEAKER_00
