start,end,start [s],end [s],dur [s],speaker
18879,48217,1.18,3.014,1.834,SPEAKER_00
54736,82716,3.421,5.17,1.749,SPEAKER_00
95483,112325,5.968,7.02,1.053,SPEAKER_00
118030,181324,7.377,11.333,3.956,SPEAKER_00
193276,255755,12.08,15.985,3.905,SPEAKER_00
266621,340509,16.664,21.282,4.618,SPEAKER_00
352190,440747,22.012,27.547,5.535,SPEAKER_00
449168,466281,28.073,29.143,1.07,SPEAKER_00
479320,580101,29.958,36.256,6.299,SPEAKER_00
591239,648285,36.952,40.518,3.565,SPEAKER_00
655891,701528,40.993,43.846,2.852,SPEAKER_00
709677,775959,44.355,48.497,4.143,SPEAKER_00
788183,893582,49.261,55.849,6.587,SPEAKER_00
900645,943293,56.29,58.956,2.666,SPEAKER_00
956604,1012835,59.788,63.302,3.514,SPEAKER_00
1016910,1031035,63.557,64.44,0.883,SPEAKER_00
1041629,1104923,65.102,69.058,3.956,SPEAKER_00
1115246,1186146,69.703,74.134,4.431,SPEAKER_00
1197011,1294261,74.813,80.891,6.078,SPEAKER_00
1303225,1380373,81.452,86.273,4.822,SPEAKER_00
1390696,1482512,86.919,92.657,5.739,SPEAKER_00
1490662,1564006,93.166,97.75,4.584,SPEAKER_00
1571612,1634634,98.226,102.165,3.939,SPEAKER_00
1637623,1657724,102.351,103.608,1.256,SPEAKER_00
