start,end,start [s],end [s],dur [s],speaker
135,6383,0.008,0.399,0.39,SPEAKER_00
12088,25398,0.756,1.587,0.832,SPEAKER_00
63972,80000,3.998,5.0,1.002,SPEAKER_00
98471,113140,6.154,7.071,0.917,SPEAKER_00
232122,415755,14.508,25.985,11.477,SPEAKER_00
255755,261731,15.985,16.358,0.374,SPEAKER_01
273955,300577,17.122,18.786,1.664,SPEAKER_01
429337,499151,26.834,31.197,4.363,SPEAKER_00
473616,478505,29.601,29.907,0.306,SPEAKER_01
613514,621663,38.345,38.854,0.509,SPEAKER_00
682512,704516,42.657,44.032,1.375,SPEAKER_00
724889,732767,45.306,45.798,0.492,SPEAKER_00
745806,784108,46.613,49.007,2.394,SPEAKER_00
831918,839252,51.995,52.453,0.458,SPEAKER_00
849847,929168,53.115,58.073,4.958,SPEAKER_00
1012020,1127470,63.251,70.467,7.216,SPEAKER_00
1081833,1120950,67.615,70.059,2.445,SPEAKER_01
1142954,1153005,71.435,72.063,0.628,SPEAKER_00
1167402,1232054,72.963,77.003,4.041,SPEAKER_00
1193480,1199185,74.593,74.949,0.357,SPEAKER_01
