start,end,start [s],end [s],dur [s],speaker
135,56366,0.008,3.523,3.514,SPEAKER_00
90050,101188,5.628,6.324,0.696,SPEAKER_02
118302,153344,7.394,9.584,2.19,SPEAKER_00
262546,284821,16.409,17.801,1.392,SPEAKER_04
325025,348115,20.314,21.757,1.443,SPEAKER_01
373650,410050,23.353,25.628,2.275,SPEAKER_04
460848,480407,28.803,30.025,1.222,SPEAKER_04
527674,535008,32.98,33.438,0.458,SPEAKER_05
554295,580101,34.643,36.256,1.613,SPEAKER_03
660509,701799,41.282,43.862,2.581,SPEAKER_03
805840,835721,50.365,52.233,1.868,SPEAKER_02
869134,903361,54.321,56.46,2.139,SPEAKER_02
1093786,1094329,68.362,68.396,0.034,SPEAKER_05
1095144,1102207,68.447,68.888,0.441,SPEAKER_05
