start,end,start [s],end [s],dur [s],speaker
135,18064,0.008,1.129,1.121,SPEAKER_01
31918,32190,1.995,2.012,0.017,SPEAKER_01
32733,80814,2.046,5.051,3.005,SPEAKER_01
85161,103633,5.323,6.477,1.154,SPEAKER_01
201697,261731,12.606,16.358,3.752,SPEAKER_01
226146,228862,14.134,14.304,0.17,SPEAKER_00
282376,320679,17.649,20.042,2.394,SPEAKER_01
375280,389134,23.455,24.321,0.866,SPEAKER_01
412495,413039,25.781,25.815,0.034,SPEAKER_01
413310,421460,25.832,26.341,0.509,SPEAKER_01
426621,449168,26.664,28.073,1.409,SPEAKER_01
467911,470084,29.244,29.38,0.136,SPEAKER_01
488013,509745,30.501,31.859,1.358,SPEAKER_00
601290,615415,37.581,38.463,0.883,SPEAKER_01
620848,627640,38.803,39.228,0.424,SPEAKER_00
660509,687130,41.282,42.946,1.664,SPEAKER_01
687402,687945,42.963,42.997,0.034,SPEAKER_01
738743,769711,46.171,48.107,1.935,SPEAKER_01
811544,858811,50.722,53.676,2.954,SPEAKER_01
863972,865059,53.998,54.066,0.068,SPEAKER_01
866689,884074,54.168,55.255,1.087,SPEAKER_01
895212,914227,55.951,57.139,1.188,SPEAKER_01
919660,953887,57.479,59.618,2.139,SPEAKER_01
959864,972088,59.992,60.756,0.764,SPEAKER_01
