start,end,start [s],end [s],dur [s],speaker
135,8013,0.008,0.501,0.492,SPEAKER_02
17249,91680,1.078,5.73,4.652,SPEAKER_02
102546,157147,6.409,9.822,3.413,SPEAKER_02
176162,191375,11.01,11.961,0.951,SPEAKER_02
219898,240000,13.744,15.0,1.256,SPEAKER_02
296774,313616,18.548,19.601,1.053,SPEAKER_02
348658,363327,21.791,22.708,0.917,SPEAKER_02
427707,451612,26.732,28.226,1.494,SPEAKER_00
533106,551035,33.319,34.44,1.121,SPEAKER_00
607266,639049,37.954,39.941,1.986,SPEAKER_01
618675,627096,38.667,39.194,0.526,SPEAKER_00
735483,735755,45.968,45.985,0.017,SPEAKER_00
736027,743089,46.002,46.443,0.441,SPEAKER_00
744991,765365,46.562,47.835,1.273,SPEAKER_00
773786,796061,48.362,49.754,1.392,SPEAKER_02
855823,872665,53.489,54.542,1.053,SPEAKER_02
881086,896842,55.068,56.053,0.985,SPEAKER_02
903904,929439,56.494,58.09,1.596,SPEAKER_01
920203,927809,57.513,57.988,0.475,SPEAKER_02
