start,end,start [s],end [s],dur [s],speaker
135,5568,0.008,0.348,0.34,SPEAKER_01
26213,56638,1.638,3.54,1.902,SPEAKER_01
134601,146553,8.413,9.16,0.747,SPEAKER_01
181867,195721,11.367,12.233,0.866,SPEAKER_01
274770,289168,17.173,18.073,0.9,SPEAKER_01
321765,336706,20.11,21.044,0.934,SPEAKER_01
355993,395382,22.25,24.711,2.462,SPEAKER_00
404617,414668,25.289,25.917,0.628,SPEAKER_01
448081,460033,28.005,28.752,0.747,SPEAKER_01
526587,538811,32.912,33.676,0.764,SPEAKER_01
673820,676808,42.114,42.301,0.187,SPEAKER_00
742003,761290,46.375,47.581,1.205,SPEAKER_01
770254,785195,48.141,49.075,0.934,SPEAKER_01
840067,853378,52.504,53.336,0.832,SPEAKER_01
927809,939762,57.988,58.735,0.747,SPEAKER_01
