start,end,start [s],end [s],dur [s],speaker
21324,26485,1.333,1.655,0.323,SPEAKER_00
57724,69949,3.608,4.372,0.764,SPEAKER_00
85161,148455,5.323,9.278,3.956,SPEAKER_00
187572,250865,11.723,15.679,3.956,SPEAKER_00
261460,306825,16.341,19.177,2.835,SPEAKER_00
338064,400814,21.129,25.051,3.922,SPEAKER_00
421731,434499,26.358,27.156,0.798,SPEAKER_00
473616,530118,29.601,33.132,3.531,SPEAKER_00
565161,610797,35.323,38.175,2.852,SPEAKER_00
653174,721629,40.823,45.102,4.278,SPEAKER_00
736570,954702,46.036,59.669,13.633,SPEAKER_00
960135,979966,60.008,61.248,1.239,SPEAKER_00
993005,1042444,62.063,65.153,3.09,SPEAKER_00
1053039,1110356,65.815,69.397,3.582,SPEAKER_00
1116876,1180713,69.805,73.795,3.99,SPEAKER_00
1210050,1239932,75.628,77.496,1.868,SPEAKER_00
1245908,1365161,77.869,85.323,7.453,SPEAKER_00
1405365,1417589,87.835,88.599,0.764,SPEAKER_00
