start,end,start [s],end [s],dur [s],speaker
135,23497,0.008,1.469,1.46,SPEAKER_01
30560,47945,1.91,2.997,1.087,SPEAKER_01
63972,86247,3.998,5.39,1.392,SPEAKER_01
102818,127266,6.426,7.954,1.528,SPEAKER_01
131341,175348,8.209,10.959,2.75,SPEAKER_01
198981,228862,12.436,14.304,1.868,SPEAKER_01
261460,282648,16.341,17.666,1.324,SPEAKER_01
320135,343769,20.008,21.486,1.477,SPEAKER_01
379626,404889,23.727,25.306,1.579,SPEAKER_01
432597,465466,27.037,29.092,2.054,SPEAKER_01
474431,498336,29.652,31.146,1.494,SPEAKER_01
514906,516536,32.182,32.284,0.102,SPEAKER_01
516536,558641,32.284,34.915,2.632,SPEAKER_00
581460,636876,36.341,39.805,3.463,SPEAKER_00
627368,662682,39.211,41.418,2.207,SPEAKER_01
686315,699083,42.895,43.693,0.798,SPEAKER_01
739830,789269,46.239,49.329,3.09,SPEAKER_01
758845,774057,47.428,48.379,0.951,SPEAKER_00
819694,854465,51.231,53.404,2.173,SPEAKER_01
888421,953887,55.526,59.618,4.092,SPEAKER_01
985942,1000882,61.621,62.555,0.934,SPEAKER_01
