start,end,start [s],end [s],dur [s],speaker
55823,73752,3.489,4.61,1.121,SPEAKER_00
76468,86791,4.779,5.424,0.645,SPEAKER_00
96842,114499,6.053,7.156,1.104,SPEAKER_00
140577,159592,8.786,9.975,1.188,SPEAKER_00
179966,242716,11.248,15.17,3.922,SPEAKER_00
258471,274499,16.154,17.156,1.002,SPEAKER_00
295415,322580,18.463,20.161,1.698,SPEAKER_00
348115,365500,21.757,22.844,1.087,SPEAKER_00
380713,388590,23.795,24.287,0.492,SPEAKER_00
395653,411409,24.728,25.713,0.985,SPEAKER_00
420373,435585,26.273,27.224,0.951,SPEAKER_00
439660,462207,27.479,28.888,1.409,SPEAKER_00
448081,460305,28.005,28.769,0.764,SPEAKER_01
