start,end,start [s],end [s],dur [s],speaker
17249,60441,1.078,3.778,2.699,SPEAKER_03
63972,91409,3.998,5.713,1.715,SPEAKER_03
116400,223972,7.275,13.998,6.723,SPEAKER_03
223972,249235,13.998,15.577,1.579,SPEAKER_02
261188,291341,16.324,18.209,1.885,SPEAKER_02
300848,328285,18.803,20.518,1.715,SPEAKER_02
335076,417928,20.942,26.121,5.178,SPEAKER_02
447809,449711,27.988,28.107,0.119,SPEAKER_01
449711,450254,28.107,28.141,0.034,SPEAKER_04
450254,456230,28.141,28.514,0.374,SPEAKER_01
456230,470084,28.514,29.38,0.866,SPEAKER_04
541799,563803,33.862,35.238,1.375,SPEAKER_04
710764,728964,44.423,45.56,1.138,SPEAKER_00
784923,800679,49.058,50.042,0.985,SPEAKER_00
834906,875653,52.182,54.728,2.547,SPEAKER_00
875653,875925,54.728,54.745,0.017,SPEAKER_01
944651,960679,59.041,60.042,1.002,SPEAKER_01
