start,end,start [s],end [s],dur [s],speaker
15076,78098,0.942,4.881,3.939,SPEAKER_00
85976,304108,5.374,19.007,13.633,SPEAKER_00
313073,339966,19.567,21.248,1.681,SPEAKER_00
345127,404074,21.57,25.255,3.684,SPEAKER_00
449439,452971,28.09,28.311,0.221,SPEAKER_00
457045,533650,28.565,33.353,4.788,SPEAKER_00
548590,596400,34.287,37.275,2.988,SPEAKER_00
604278,656977,37.767,41.061,3.294,SPEAKER_00
718370,770254,44.898,48.141,3.243,SPEAKER_00
773242,812903,48.328,50.806,2.479,SPEAKER_00
813446,891409,50.84,55.713,4.873,SPEAKER_00
915314,961222,57.207,60.076,2.869,SPEAKER_00
