start,end,start [s],end [s],dur [s],speaker
135,10730,0.008,0.671,0.662,SPEAKER_00
7470,19151,0.467,1.197,0.73,SPEAKER_01
23769,34091,1.486,2.131,0.645,SPEAKER_00
156876,199524,9.805,12.47,2.666,SPEAKER_01
201969,206587,12.623,12.912,0.289,SPEAKER_00
206587,297317,12.912,18.582,5.671,SPEAKER_01
309813,352190,19.363,22.012,2.649,SPEAKER_01
385331,423633,24.083,26.477,2.394,SPEAKER_01
456502,468183,28.531,29.261,0.73,SPEAKER_01
519524,591511,32.47,36.969,4.499,SPEAKER_01
618404,689303,38.65,43.081,4.431,SPEAKER_01
654533,656706,40.908,41.044,0.136,SPEAKER_00
725432,808285,45.34,50.518,5.178,SPEAKER_01
880000,881901,55.0,55.119,0.119,SPEAKER_00
894668,907436,55.917,56.715,0.798,SPEAKER_01
962580,994634,60.161,62.165,2.003,SPEAKER_01
1011205,1028862,63.2,64.304,1.104,SPEAKER_01
1075042,1089439,67.19,68.09,0.9,SPEAKER_01
1126383,1136977,70.399,71.061,0.662,SPEAKER_01
