start,end,start [s],end [s],dur [s],speaker
135,2852,0.008,0.178,0.17,SPEAKER_00
11273,57996,0.705,3.625,2.92,SPEAKER_00
68319,109609,4.27,6.851,2.581,SPEAKER_00
111239,121833,6.952,7.615,0.662,SPEAKER_00
149269,187300,9.329,11.706,2.377,SPEAKER_00
192733,207130,12.046,12.946,0.9,SPEAKER_00
217996,273684,13.625,17.105,3.48,SPEAKER_00
283735,313887,17.733,19.618,1.885,SPEAKER_00
319049,343225,19.941,21.452,1.511,SPEAKER_00
358438,392665,22.402,24.542,2.139,SPEAKER_00
404346,418200,25.272,26.138,0.866,SPEAKER_00
423633,448353,26.477,28.022,1.545,SPEAKER_00
449983,460305,28.124,28.769,0.645,SPEAKER_00
471443,490730,29.465,30.671,1.205,SPEAKER_00
504312,530662,31.52,33.166,1.647,SPEAKER_00
541528,566247,33.846,35.39,1.545,SPEAKER_00
575755,589066,35.985,36.817,0.832,SPEAKER_00
596672,612156,37.292,38.26,0.968,SPEAKER_00
623022,633887,38.939,39.618,0.679,SPEAKER_00
654533,672190,40.908,42.012,1.104,SPEAKER_00
682241,720814,42.64,45.051,2.411,SPEAKER_00
726247,753955,45.39,47.122,1.732,SPEAKER_00
773242,887334,48.328,55.458,7.131,SPEAKER_00
910696,925908,56.919,57.869,0.951,SPEAKER_00
930797,935687,58.175,58.48,0.306,SPEAKER_01
941663,962037,58.854,60.127,1.273,SPEAKER_00
971816,1035382,60.739,64.711,3.973,SPEAKER_00
1040271,1050594,65.017,65.662,0.645,SPEAKER_00
1070967,1150288,66.935,71.893,4.958,SPEAKER_00
1178539,1192665,73.659,74.542,0.883,SPEAKER_00
