start,end,start [s],end [s],dur [s],speaker
135,950,0.008,0.059,0.051,SPEAKER_01
13989,63429,0.874,3.964,3.09,SPEAKER_01
72393,92224,4.525,5.764,1.239,SPEAKER_01
123463,144108,7.716,9.007,1.29,SPEAKER_01
151443,169915,9.465,10.62,1.154,SPEAKER_01
200611,219354,12.538,13.71,1.171,SPEAKER_01
270967,282376,16.935,17.649,0.713,SPEAKER_01
305195,314702,19.075,19.669,0.594,SPEAKER_01
341052,350831,21.316,21.927,0.611,SPEAKER_01
427436,436400,26.715,27.275,0.56,SPEAKER_00
481222,497249,30.076,31.078,1.002,SPEAKER_00
548590,580916,34.287,36.307,2.02,SPEAKER_00
598302,613786,37.394,38.362,0.968,SPEAKER_01
613786,614057,38.362,38.379,0.017,SPEAKER_00
638505,683599,39.907,42.725,2.818,SPEAKER_01
686859,771341,42.929,48.209,5.28,SPEAKER_01
787640,793887,49.228,49.618,0.39,SPEAKER_01
846044,878913,52.878,54.932,2.054,SPEAKER_01
899558,911511,56.222,56.969,0.747,SPEAKER_01
948183,969100,59.261,60.569,1.307,SPEAKER_01
