start,end,start [s],end [s],dur [s],speaker
13718,332088,0.857,20.756,19.898,SPEAKER_00
352461,499422,22.029,31.214,9.185,SPEAKER_00
564346,600203,35.272,37.513,2.241,SPEAKER_00
610254,646926,38.141,40.433,2.292,SPEAKER_00
618404,623293,38.65,38.956,0.306,SPEAKER_01
652903,672190,40.806,42.012,1.205,SPEAKER_00
692835,711307,43.302,44.457,1.154,SPEAKER_00
720000,768353,45.0,48.022,3.022,SPEAKER_00
797147,821052,49.822,51.316,1.494,SPEAKER_00
833005,853650,52.063,53.353,1.29,SPEAKER_00
897657,912325,56.104,57.02,0.917,SPEAKER_00
948183,960135,59.261,60.008,0.747,SPEAKER_00
981595,994906,61.35,62.182,0.832,SPEAKER_00
