start,end,start [s],end [s],dur [s],speaker
135,60984,0.008,3.812,3.803,SPEAKER_01
62886,80271,3.93,5.017,1.087,SPEAKER_01
109337,115042,6.834,7.19,0.357,SPEAKER_01
148998,161494,9.312,10.093,0.781,SPEAKER_01
195449,210118,12.216,13.132,0.917,SPEAKER_01
308455,323395,19.278,20.212,0.934,SPEAKER_01
344040,355993,21.503,22.25,0.747,SPEAKER_01
500780,514634,31.299,32.165,0.866,SPEAKER_00
711307,724617,44.457,45.289,0.832,SPEAKER_01
762105,775415,47.632,48.463,0.832,SPEAKER_01
806926,821324,50.433,51.333,0.9,SPEAKER_01
