start,end,start [s],end [s],dur [s],speaker
135,22954,0.008,1.435,1.426,SPEAKER_00
50933,105263,3.183,6.579,3.396,SPEAKER_00
131612,144651,8.226,9.041,0.815,SPEAKER_00
183497,241901,11.469,15.119,3.65,SPEAKER_00
274770,340509,17.173,21.282,4.109,SPEAKER_00
361154,451612,22.572,28.226,5.654,SPEAKER_00
483395,543429,30.212,33.964,3.752,SPEAKER_00
589066,631714,36.817,39.482,2.666,SPEAKER_00
675178,689032,42.199,43.065,0.866,SPEAKER_00
744991,792801,46.562,49.55,2.988,SPEAKER_00
794431,794702,49.652,49.669,0.017,SPEAKER_00
840067,860169,52.504,53.761,1.256,SPEAKER_00
888964,911511,55.56,56.969,1.409,SPEAKER_00
951443,975891,59.465,60.993,1.528,SPEAKER_00
