start,end,start [s],end [s],dur [s],speaker
135,15891,0.008,0.993,0.985,SPEAKER_01
31918,50118,1.995,3.132,1.138,SPEAKER_01
74023,146281,4.626,9.143,4.516,SPEAKER_01
181867,193548,11.367,12.097,0.73,SPEAKER_01
256027,267707,16.002,16.732,0.73,SPEAKER_01
332631,345127,20.789,21.57,0.781,SPEAKER_01
351918,359796,21.995,22.487,0.492,SPEAKER_01
372292,384516,23.268,24.032,0.764,SPEAKER_01
390492,395110,24.406,24.694,0.289,SPEAKER_01
462207,470356,28.888,29.397,0.509,SPEAKER_01
784651,831918,49.041,51.995,2.954,SPEAKER_00
908522,921018,56.783,57.564,0.781,SPEAKER_01
