start,end,start [s],end [s],dur [s],speaker
9643,26757,0.603,1.672,1.07,SPEAKER_01
34634,75382,2.165,4.711,2.547,SPEAKER_01
79185,135415,4.949,8.463,3.514,SPEAKER_01
139219,223157,8.701,13.947,5.246,SPEAKER_01
231307,378268,14.457,23.642,9.185,SPEAKER_01
388047,522241,24.253,32.64,8.387,SPEAKER_01
537996,626281,33.625,39.143,5.518,SPEAKER_01
648556,674906,40.535,42.182,1.647,SPEAKER_00
694465,747436,43.404,46.715,3.311,SPEAKER_00
765093,830288,47.818,51.893,4.075,SPEAKER_00
909609,921290,56.851,57.581,0.73,SPEAKER_01
940577,991103,58.786,61.944,3.158,SPEAKER_00
1032393,1050322,64.525,65.645,1.121,SPEAKER_01
1058743,1060645,66.171,66.29,0.119,SPEAKER_01
1060645,1066349,66.29,66.647,0.357,SPEAKER_00
1078030,1190220,67.377,74.389,7.012,SPEAKER_01
1192937,1202716,74.559,75.17,0.611,SPEAKER_01
