start,end,start [s],end [s],dur [s],speaker
19966,41697,1.248,2.606,1.358,SPEAKER_00
48760,62886,3.048,3.93,0.883,SPEAKER_00
102275,112869,6.392,7.054,0.662,SPEAKER_00
121290,138132,7.581,8.633,1.053,SPEAKER_00
141663,147911,8.854,9.244,0.39,SPEAKER_00
153616,168828,9.601,10.552,0.951,SPEAKER_00
183769,206587,11.486,12.912,1.426,SPEAKER_00
221528,250865,13.846,15.679,1.834,SPEAKER_00
279660,294329,17.479,18.396,0.917,SPEAKER_00
301120,414125,18.82,25.883,7.063,SPEAKER_00
526315,542342,32.895,33.896,1.002,SPEAKER_00
605636,609439,37.852,38.09,0.238,SPEAKER_00
609439,612971,38.09,38.311,0.221,SPEAKER_01
612971,629269,38.311,39.329,1.019,SPEAKER_00
688488,699898,43.031,43.744,0.713,SPEAKER_00
785466,793616,49.092,49.601,0.509,SPEAKER_00
810186,828658,50.637,51.791,1.154,SPEAKER_00
852835,898743,53.302,56.171,2.869,SPEAKER_00
950628,960407,59.414,60.025,0.611,SPEAKER_00
