start,end,start [s],end [s],dur [s],speaker
135,104719,0.008,6.545,6.537,SPEAKER_00
105263,131612,6.579,8.226,1.647,SPEAKER_00
144108,154702,9.007,9.669,0.662,SPEAKER_00
163938,181867,10.246,11.367,1.121,SPEAKER_00
197894,210662,12.368,13.166,0.798,SPEAKER_00
216910,287266,13.557,17.954,4.397,SPEAKER_00
312258,323123,19.516,20.195,0.679,SPEAKER_00
336977,350288,21.061,21.893,0.832,SPEAKER_00
376910,389677,23.557,24.355,0.798,SPEAKER_00
404074,416298,25.255,26.019,0.764,SPEAKER_00
427707,438573,26.732,27.411,0.679,SPEAKER_00
468183,480950,29.261,30.059,0.798,SPEAKER_00
489100,510831,30.569,31.927,1.358,SPEAKER_00
536095,546417,33.506,34.151,0.645,SPEAKER_00
558641,569779,34.915,35.611,0.696,SPEAKER_00
609168,619219,38.073,38.701,0.628,SPEAKER_00
671918,681697,41.995,42.606,0.611,SPEAKER_00
684957,687945,42.81,42.997,0.187,SPEAKER_00
825127,900645,51.57,56.29,4.72,SPEAKER_01
921290,924821,57.581,57.801,0.221,SPEAKER_01
1050594,1060916,65.662,66.307,0.645,SPEAKER_00
1092427,1124482,68.277,70.28,2.003,SPEAKER_00
