start,end,start [s],end [s],dur [s],speaker
47945,66689,2.997,4.168,1.171,SPEAKER_01
73480,85432,4.593,5.34,0.747,SPEAKER_01
92224,121561,5.764,7.598,1.834,SPEAKER_01
127538,152529,7.971,9.533,1.562,SPEAKER_01
162580,178336,10.161,11.146,0.985,SPEAKER_01
186757,209575,11.672,13.098,1.426,SPEAKER_01
219083,247334,13.693,15.458,1.766,SPEAKER_01
268251,282376,16.766,17.649,0.883,SPEAKER_01
325568,369847,20.348,23.115,2.767,SPEAKER_01
380984,392937,23.812,24.559,0.747,SPEAKER_01
412767,425534,25.798,26.596,0.798,SPEAKER_00
425534,426893,26.596,26.681,0.085,SPEAKER_01
503769,517894,31.486,32.368,0.883,SPEAKER_00
