start,end,start [s],end [s],dur [s],speaker
12359,13989,0.772,0.874,0.102,SPEAKER_00
37079,41154,2.317,2.572,0.255,SPEAKER_00
51205,68590,3.2,4.287,1.087,SPEAKER_00
78641,91409,4.915,5.713,0.798,SPEAKER_00
114227,127538,7.139,7.971,0.832,SPEAKER_00
154431,167741,9.652,10.484,0.832,SPEAKER_00
199796,209303,12.487,13.081,0.594,SPEAKER_00
245976,260373,15.374,16.273,0.9,SPEAKER_00
292427,306553,18.277,19.16,0.883,SPEAKER_00
341324,356536,21.333,22.284,0.951,SPEAKER_00
403259,422003,25.204,26.375,1.171,SPEAKER_00
503769,511918,31.486,31.995,0.509,SPEAKER_00
829202,840067,51.825,52.504,0.679,SPEAKER_00
862342,876468,53.896,54.779,0.883,SPEAKER_00
