start,end,start [s],end [s],dur [s],speaker
2580,33820,0.161,2.114,1.952,SPEAKER_01
46587,65602,2.912,4.1,1.188,SPEAKER_01
83803,98743,5.238,6.171,0.934,SPEAKER_01
109066,145195,6.817,9.075,2.258,SPEAKER_01
160407,180509,10.025,11.282,1.256,SPEAKER_01
194091,214736,12.131,13.421,1.29,SPEAKER_01
234295,254125,14.643,15.883,1.239,SPEAKER_01
255755,256027,15.985,16.002,0.017,SPEAKER_01
256298,278573,16.019,17.411,1.392,SPEAKER_01
290254,307096,18.141,19.194,1.053,SPEAKER_01
327198,347300,20.45,21.706,1.256,SPEAKER_01
375280,393208,23.455,24.576,1.121,SPEAKER_01
451341,467911,28.209,29.244,1.036,SPEAKER_01
493989,515178,30.874,32.199,1.324,SPEAKER_01
538268,557555,33.642,34.847,1.205,SPEAKER_01
587707,608624,36.732,38.039,1.307,SPEAKER_01
593412,604006,37.088,37.75,0.662,SPEAKER_00
633344,650186,39.584,40.637,1.053,SPEAKER_01
669745,689032,41.859,43.065,1.205,SPEAKER_01
709677,724074,44.355,45.255,0.9,SPEAKER_01
816434,830288,51.027,51.893,0.866,SPEAKER_00
854465,869949,53.404,54.372,0.968,SPEAKER_00
862342,865059,53.896,54.066,0.17,SPEAKER_01
946825,964482,59.177,60.28,1.104,SPEAKER_00
