start,end,start [s],end [s],dur [s],speaker
135,27028,0.008,1.689,1.681,SPEAKER_02
28387,43056,1.774,2.691,0.917,SPEAKER_03
46859,66146,2.929,4.134,1.205,SPEAKER_02
123191,148998,7.699,9.312,1.613,SPEAKER_02
154702,166926,9.669,10.433,0.764,SPEAKER_03
166926,190831,10.433,11.927,1.494,SPEAKER_02
224244,242988,14.015,15.187,1.171,SPEAKER_02
369575,375551,23.098,23.472,0.374,SPEAKER_00
406791,415483,25.424,25.968,0.543,SPEAKER_00
553752,576027,34.61,36.002,1.392,SPEAKER_01
586893,604550,36.681,37.784,1.104,SPEAKER_04
639864,651273,39.992,40.705,0.713,SPEAKER_01
664040,673276,41.503,42.08,0.577,SPEAKER_01
716196,730865,44.762,45.679,0.917,SPEAKER_01
939490,958777,58.718,59.924,1.205,SPEAKER_02
983497,996536,61.469,62.284,0.815,SPEAKER_02
1010390,1030492,63.149,64.406,1.256,SPEAKER_04
