start,end,start [s],end [s],dur [s],speaker
8013,24584,0.501,1.537,1.036,SPEAKER_02
32190,52835,2.012,3.302,1.29,SPEAKER_02
69677,80000,4.355,5.0,0.645,SPEAKER_02
191646,208488,11.978,13.031,1.053,SPEAKER_03
247062,257113,15.441,16.07,0.628,SPEAKER_03
270696,355449,16.919,22.216,5.297,SPEAKER_01
365772,366044,22.861,22.878,0.017,SPEAKER_01
366044,380713,22.878,23.795,0.917,SPEAKER_02
411409,425534,25.713,26.596,0.883,SPEAKER_02
435042,446179,27.19,27.886,0.696,SPEAKER_02
507028,537996,31.689,33.625,1.935,SPEAKER_02
540169,568421,33.761,35.526,1.766,SPEAKER_00
926451,942750,57.903,58.922,1.019,SPEAKER_02
