start,end,start [s],end [s],dur [s],speaker
19422,36536,1.214,2.284,1.07,SPEAKER_00
44142,59083,2.759,3.693,0.934,SPEAKER_00
69949,87877,4.372,5.492,1.121,SPEAKER_00
92767,122105,5.798,7.632,1.834,SPEAKER_00
125093,133786,7.818,8.362,0.543,SPEAKER_00
157419,166655,9.839,10.416,0.577,SPEAKER_00
169643,181595,10.603,11.35,0.747,SPEAKER_00
218811,247334,13.676,15.458,1.783,SPEAKER_00
249507,256570,15.594,16.036,0.441,SPEAKER_00
277758,290254,17.36,18.141,0.781,SPEAKER_00
300848,323667,18.803,20.229,1.426,SPEAKER_00
363599,383157,22.725,23.947,1.222,SPEAKER_00
417928,439660,26.121,27.479,1.358,SPEAKER_00
449439,458132,28.09,28.633,0.543,SPEAKER_00
475789,552122,29.737,34.508,4.771,SPEAKER_00
555110,584448,34.694,36.528,1.834,SPEAKER_00
601561,627368,37.598,39.211,1.613,SPEAKER_00
647198,679796,40.45,42.487,2.037,SPEAKER_00
696910,721358,43.557,45.085,1.528,SPEAKER_00
753955,782478,47.122,48.905,1.783,SPEAKER_00
784651,794702,49.041,49.669,0.628,SPEAKER_00
831103,848760,51.944,53.048,1.104,SPEAKER_00
895483,900645,55.968,56.29,0.323,SPEAKER_00
904176,946825,56.511,59.177,2.666,SPEAKER_00
954431,963667,59.652,60.229,0.577,SPEAKER_00
992733,1006044,62.046,62.878,0.832,SPEAKER_00
1037555,1053310,64.847,65.832,0.985,SPEAKER_00
1090797,1108726,68.175,69.295,1.121,SPEAKER_00
