start,end,start [s],end [s],dur [s],speaker
135,32733,0.008,2.046,2.037,SPEAKER_01
81358,115314,5.085,7.207,2.122,SPEAKER_01
144380,164482,9.024,10.28,1.256,SPEAKER_01
175076,190831,10.942,11.927,0.985,SPEAKER_01
209847,224787,13.115,14.049,0.934,SPEAKER_01
242988,255483,15.187,15.968,0.781,SPEAKER_01
297860,317147,18.616,19.822,1.205,SPEAKER_01
391307,436943,24.457,27.309,2.852,SPEAKER_00
510831,539354,31.927,33.71,1.783,SPEAKER_01
554023,605636,34.626,37.852,3.226,SPEAKER_01
650730,665670,40.671,41.604,0.934,SPEAKER_01
716468,811001,44.779,50.688,5.908,SPEAKER_01
828387,849575,51.774,53.098,1.324,SPEAKER_01
902546,1029949,56.409,64.372,7.963,SPEAKER_01
1015551,1024244,63.472,64.015,0.543,SPEAKER_00
