start,end,start [s],end [s],dur [s],speaker
135,7470,0.008,0.467,0.458,SPEAKER_00
10458,46044,0.654,2.878,2.224,SPEAKER_00
57724,81358,3.608,5.085,1.477,SPEAKER_00
94668,112054,5.917,7.003,1.087,SPEAKER_00
116400,128353,7.275,8.022,0.747,SPEAKER_00
141935,155246,8.871,9.703,0.832,SPEAKER_00
166926,182954,10.433,11.435,1.002,SPEAKER_00
206044,220441,12.878,13.778,0.9,SPEAKER_00
233752,256298,14.61,16.019,1.409,SPEAKER_00
272597,297860,17.037,18.616,1.579,SPEAKER_00
312801,322308,19.55,20.144,0.594,SPEAKER_00
335891,358709,20.993,22.419,1.426,SPEAKER_00
370662,389677,23.166,24.355,1.188,SPEAKER_00
408421,425534,25.526,26.596,1.07,SPEAKER_00
447809,497792,27.988,31.112,3.124,SPEAKER_00
509745,552937,31.859,34.559,2.699,SPEAKER_00
580645,602920,36.29,37.683,1.392,SPEAKER_00
622750,643123,38.922,40.195,1.273,SPEAKER_00
672190,686044,42.012,42.878,0.866,SPEAKER_00
718098,756129,44.881,47.258,2.377,SPEAKER_00
772699,786281,48.294,49.143,0.849,SPEAKER_00
818607,846587,51.163,52.912,1.749,SPEAKER_00
898200,913955,56.138,57.122,0.985,SPEAKER_00
953073,963938,59.567,60.246,0.679,SPEAKER_00
975348,987300,60.959,61.706,0.747,SPEAKER_00
992190,1005772,62.012,62.861,0.849,SPEAKER_00
1007945,1009847,62.997,63.115,0.119,SPEAKER_00
