start,end,start [s],end [s],dur [s],speaker
8285,15891,0.518,0.993,0.475,SPEAKER_00
53650,116943,3.353,7.309,3.956,SPEAKER_01
123735,128353,7.733,8.022,0.289,SPEAKER_01
138947,152801,8.684,9.55,0.866,SPEAKER_01
171544,171816,10.722,10.739,0.017,SPEAKER_01
171816,172903,10.739,10.806,0.068,SPEAKER_02
172903,175891,10.806,10.993,0.187,SPEAKER_01
175891,177792,10.993,11.112,0.119,SPEAKER_02
177792,185398,11.112,11.587,0.475,SPEAKER_01
185398,187300,11.587,11.706,0.119,SPEAKER_02
231307,267164,14.457,16.698,2.241,SPEAKER_00
272054,287809,17.003,17.988,0.985,SPEAKER_00
308455,345942,19.278,21.621,2.343,SPEAKER_00
409507,436129,25.594,27.258,1.664,SPEAKER_03
470356,517351,29.397,32.334,2.937,SPEAKER_03
